lr-AdamW,step,train_loss_phi,train_loss_psi,train_loss_omega,train_loss_tau,train_loss_CA:C:1N,train_loss_C:1N:1CA,train_loss,epoch,val_loss_phi,val_loss_psi,val_loss_omega,val_loss_tau,val_loss_CA:C:1N,val_loss_C:1N:1CA,val_loss
,2199,0.45472580194473267,0.6273296475410461,0.3220873773097992,0.2904781401157379,0.28558099269866943,0.31022900342941284,0.3817385137081146,5,,,,,,,
,2279,,,,,,,,5,0.42351198196411133,0.5997391939163208,0.26786038279533386,0.24387428164482117,0.24672813713550568,0.24279622733592987,0.3365113437175751
3.0000000000000004e-07,2280,,,,,,,,,,,,,,,
,2399,0.5358482599258423,0.658973217010498,0.3628180921077728,0.31540805101394653,0.322787344455719,0.33978408575057983,0.42260318994522095,6,,,,,,,
,2599,0.38093796372413635,0.578518271446228,0.24312911927700043,0.2021949142217636,0.2157478928565979,0.22147807478904724,0.3070010542869568,6,,,,,,,
,2659,,,,,,,,6,0.40042832493782043,0.5807706117630005,0.2437577247619629,0.22668762505054474,0.21994537115097046,0.22080212831497192,0.3155151307582855
3.5000000000000004e-07,2660,,,,,,,,,,,,,,,
,2799,0.5032912492752075,0.6393947601318359,0.3086988031864166,0.2832784056663513,0.26524996757507324,0.26609984040260315,0.3776688575744629,7,,,,,,,
,2999,0.36072102189064026,0.5647066831588745,0.20858453214168549,0.18656368553638458,0.1877904236316681,0.193165585398674,0.2835886478424072,7,,,,,,,
,3039,,,,,,,,7,0.39031916856765747,0.5693192481994629,0.22277261316776276,0.2017924189567566,0.20377351343631744,0.20129290223121643,0.29931771755218506
4.0000000000000003e-07,3040,,,,,,,,,,,,,,,
,3199,0.3688145577907562,0.5758447051048279,0.20326407253742218,0.1828586608171463,0.18106874823570251,0.17943847179412842,0.28188154101371765,8,,,,,,,
,3399,0.345296710729599,0.5219995975494385,0.2449026256799698,0.22862356901168823,0.2126048505306244,0.22679056227207184,0.2967029809951782,8,,,,,,,
,3419,,,,,,,,8,0.3853204548358917,0.5537226796150208,0.22171027958393097,0.20504875481128693,0.20309612154960632,0.20448949933052063,0.29394394159317017
4.5e-07,3420,,,,,,,,,,,,,,,
,3599,0.37917590141296387,0.5340868234634399,0.1899295300245285,0.19121204316616058,0.18377050757408142,0.17746597528457642,0.2759401202201843,9,,,,,,,
,3799,0.3724961280822754,0.5343489646911621,0.19868987798690796,0.17854776978492737,0.17423801124095917,0.17842021584510803,0.27279019355773926,9,,,,,,,
,3799,,,,,,,,9,0.3739761412143707,0.5387463569641113,0.2127293050289154,0.1924959123134613,0.1920357197523117,0.19237704575061798,0.2841738164424896
5.000000000000001e-07,3800,,,,,,,,,,,,,,,
,3999,0.33804357051849365,0.5300880670547485,0.17998471856117249,0.17774339020252228,0.1839592605829239,0.1856619119644165,0.2659134864807129,10,,,,,,,
,4179,,,,,,,,10,0.3700008988380432,0.5336610078811646,0.20365269482135773,0.1846509575843811,0.18076162040233612,0.18411943316459656,0.27685683965682983
5.5e-07,4180,,,,,,,,,,,,,,,
,4199,0.3559044897556305,0.539104700088501,0.19065316021442413,0.18257290124893188,0.18126864731311798,0.19113297760486603,0.2734394669532776,11,,,,,,,
,4399,0.4259478449821472,0.5362572073936462,0.23469026386737823,0.21255706250667572,0.2128264307975769,0.22587372362613678,0.30802541971206665,11,,,,,,,
,4559,,,,,,,,11,0.38780638575553894,0.5371817350387573,0.20669864118099213,0.18454042077064514,0.1799098402261734,0.1815912127494812,0.279960572719574
6.000000000000001e-07,4560,,,,,,,,,,,,,,,
,4599,0.4051280915737152,0.5634463429450989,0.19813352823257446,0.1775270402431488,0.19044291973114014,0.18755586445331573,0.28703898191452026,12,,,,,,,
,4799,0.3890613615512848,0.5428822040557861,0.22511360049247742,0.18989770114421844,0.16996505856513977,0.18495121598243713,0.2836451828479767,12,,,,,,,
,4939,,,,,,,,12,0.38530585169792175,0.5210768580436707,0.2064332813024521,0.18319734930992126,0.17931032180786133,0.18192613124847412,0.27524465322494507
6.5e-07,4940,,,,,,,,,,,,,,,
,4999,0.39580467343330383,0.5421980023384094,0.18821612000465393,0.18013085424900055,0.1772657036781311,0.18257474899291992,0.2776983678340912,13,,,,,,,
,5199,0.3471015691757202,0.46714213490486145,0.21805189549922943,0.18589577078819275,0.19320030510425568,0.18878139555454254,0.266695499420166,13,,,,,,,
,5319,,,,,,,,13,0.37113839387893677,0.508749783039093,0.1941591501235962,0.17171524465084076,0.16732896864414215,0.16913171112537384,0.2642638683319092
7.000000000000001e-07,5320,,,,,,,,,,,,,,,
,5399,0.2975451648235321,0.4500868618488312,0.1928129643201828,0.179518461227417,0.17172469198703766,0.17181384563446045,0.24391698837280273,14,,,,,,,
,5599,0.3400501012802124,0.5162160396575928,0.16925588250160217,0.1328505277633667,0.14163720607757568,0.13684521615505219,0.23947583138942719,14,,,,,,,
,5699,,,,,,,,14,0.35530203580856323,0.4882413446903229,0.18450847268104553,0.16422595083713531,0.15766994655132294,0.16122044622898102,0.25381866097450256
7.5e-07,5700,,,,,,,,,,,,,,,
,5799,0.4116789996623993,0.5427383780479431,0.19373933970928192,0.17657378315925598,0.16741512715816498,0.18030449748039246,0.2787416875362396,15,,,,,,,
,5999,0.32471752166748047,0.4375680685043335,0.1803787648677826,0.15349994599819183,0.15640230476856232,0.15944404900074005,0.235335111618042,15,,,,,,,
,6079,,,,,,,,15,0.3499012589454651,0.48089322447776794,0.18251128494739532,0.1604418158531189,0.15650330483913422,0.15787950158119202,0.2505006194114685
8.000000000000001e-07,6080,,,,,,,,,,,,,,,
,6199,0.3321463167667389,0.44696611166000366,0.18085956573486328,0.1731896996498108,0.1566520631313324,0.14743615686893463,0.2395416498184204,16,,,,,,,
,6399,0.37813690304756165,0.47321683168411255,0.18396933376789093,0.1583419144153595,0.15622642636299133,0.16282036900520325,0.25211864709854126,16,,,,,,,
,6459,,,,,,,,16,0.37275657057762146,0.48786789178848267,0.19169466197490692,0.16628746688365936,0.16165781021118164,0.1620805412530899,0.25657373666763306
8.500000000000001e-07,6460,,,,,,,,,,,,,,,
,6599,0.35019415616989136,0.45417991280555725,0.1799456626176834,0.15310078859329224,0.1509169489145279,0.15331487357616425,0.24027538299560547,17,,,,,,,
,6799,0.3443808853626251,0.4584888517856598,0.1759055256843567,0.13978542387485504,0.13490504026412964,0.13426479697227478,0.23128843307495117,17,,,,,,,
,6839,,,,,,,,17,0.35899364948272705,0.4876846969127655,0.18442198634147644,0.16075411438941956,0.15474972128868103,0.15618754923343658,0.2496183067560196
9e-07,6840,,,,,,,,,,,,,,,
,6999,0.284407377243042,0.4352043867111206,0.14303965866565704,0.12889251112937927,0.11848188191652298,0.12925797700881958,0.2065473049879074,18,,,,,,,
,7199,0.36316242814064026,0.4981299936771393,0.17677204310894012,0.15974277257919312,0.14227554202079773,0.15007202327251434,0.24835914373397827,18,,,,,,,
,7219,,,,,,,,18,0.34365716576576233,0.4713050425052643,0.1740378886461258,0.14880116283893585,0.14366044104099274,0.14624299108982086,0.23954235017299652
9.5e-07,7220,,,,,,,,,,,,,,,
,7399,0.35964351892471313,0.5146998167037964,0.19854898750782013,0.16417990624904633,0.1576802134513855,0.15032175183296204,0.2575123906135559,19,,,,,,,
,7599,0.3220827579498291,0.4510098099708557,0.1767413467168808,0.15805570781230927,0.15703193843364716,0.14888674020767212,0.2356347143650055,19,,,,,,,
,7599,,,,,,,,19,0.34613996744155884,0.470441609621048,0.17162489891052246,0.1456596702337265,0.14053945243358612,0.1424645036458969,0.23569320142269135
1.0000000000000002e-06,7600,,,,,,,,,,,,,,,
,7799,0.3101270794868469,0.4279423952102661,0.15225183963775635,0.1280749887228012,0.13282984495162964,0.12803415954113007,0.2132100760936737,20,,,,,,,
,7979,,,,,,,,20,0.34263816475868225,0.47122034430503845,0.16588111221790314,0.14119471609592438,0.13490037620067596,0.13733705878257751,0.2334389090538025
1.0500000000000001e-06,7980,,,,,,,,,,,,,,,
,7999,0.3192283511161804,0.42771434783935547,0.15504294633865356,0.13078871369361877,0.12510614097118378,0.1237821877002716,0.2136104553937912,21,,,,,,,
,8199,0.37794241309165955,0.5257863998413086,0.15382348001003265,0.13581867516040802,0.13581101596355438,0.13888588547706604,0.24467799067497253,21,,,,,,,
,8359,,,,,,,,21,0.35081735253334045,0.4777469336986542,0.1676274836063385,0.13946132361888885,0.1306251883506775,0.13388170301914215,0.23225975036621094
1.1e-06,8360,,,,,,,,,,,,,,,
,8399,0.37011125683784485,0.5000971555709839,0.17094576358795166,0.1400810033082962,0.13552746176719666,0.13814225792884827,0.24248413741588593,22,,,,,,,
,8599,0.3890810012817383,0.531452476978302,0.16219323873519897,0.14046750962734222,0.13976870477199554,0.14249806106090546,0.2509101629257202,22,,,,,,,
,8739,,,,,,,,22,0.3506236970424652,0.4713454842567444,0.1719193458557129,0.14140509068965912,0.13304908573627472,0.13558022677898407,0.23511189222335815
1.15e-06,8740,,,,,,,,,,,,,,,
,8799,0.2830260097980499,0.3877639174461365,0.14157742261886597,0.12025123089551926,0.11425845324993134,0.12159225344657898,0.19474487006664276,23,,,,,,,
,8999,0.30095377564430237,0.44015464186668396,0.15944437682628632,0.13997744023799896,0.1385670155286789,0.13389411568641663,0.2188318967819214,23,,,,,,,
,9119,,,,,,,,23,0.3325961232185364,0.45873546600341797,0.16078098118305206,0.1311185508966446,0.12400226294994354,0.12537364661693573,0.22182711958885193
1.2000000000000002e-06,9120,,,,,,,,,,,,,,,
,9199,0.39557063579559326,0.5044907927513123,0.17617323994636536,0.13792939484119415,0.13065709173679352,0.13957060873508453,0.24739861488342285,24,,,,,,,
,9399,0.40402430295944214,0.5632652640342712,0.16477841138839722,0.15784595906734467,0.14488226175308228,0.14498448371887207,0.26329681277275085,24,,,,,,,
,9499,,,,,,,,24,0.34819158911705017,0.4655624330043793,0.1625777781009674,0.12912316620349884,0.12097447365522385,0.12185744941234589,0.22507420182228088
1.25e-06,9500,,,,,,,,,,,,,,,
,9599,0.4037322402000427,0.49732789397239685,0.2519283592700958,0.17880204319953918,0.16749075055122375,0.1735667586326599,0.27880799770355225,25,,,,,,,
,9799,0.36371785402297974,0.4286920726299286,0.201477512717247,0.1534498929977417,0.1441746950149536,0.14584115147590637,0.2395588755607605,25,,,,,,,
,9879,,,,,,,,25,0.32992926239967346,0.45349904894828796,0.1562710702419281,0.1248808279633522,0.11507968604564667,0.11703713238239288,0.21783661842346191
1.3e-06,9880,,,,,,,,,,,,,,,
,9999,0.43231135606765747,0.5194942951202393,0.1665804386138916,0.1433730274438858,0.12567727267742157,0.12118250131607056,0.2514364719390869,26,,,,,,,
,10199,0.2888542711734772,0.42754068970680237,0.11853842437267303,0.09822464734315872,0.0981321930885315,0.10150165855884552,0.1887986660003662,26,,,,,,,
,10259,,,,,,,,26,0.33222827315330505,0.4463618993759155,0.1431606560945511,0.1106918603181839,0.10277797281742096,0.1042100116610527,0.2076227068901062
1.35e-06,10260,,,,,,,,,,,,,,,
,10399,0.28407326340675354,0.4179837703704834,0.13106326758861542,0.11459974944591522,0.1079215332865715,0.1030297577381134,0.19311189651489258,27,,,,,,,
,10599,0.2958374321460724,0.3952997922897339,0.1775660216808319,0.12473113089799881,0.12715616822242737,0.11711553484201431,0.20628434419631958,27,,,,,,,
,10639,,,,,,,,27,0.3383089303970337,0.4473689794540405,0.14600345492362976,0.10774208605289459,0.09819822758436203,0.10063711553812027,0.2066471129655838
1.4000000000000001e-06,10640,,,,,,,,,,,,,,,
,10799,0.34269627928733826,0.436894953250885,0.15716452896595,0.12067446112632751,0.10648588836193085,0.11428839713335037,0.21303407847881317,28,,,,,,,
,10999,0.3478126525878906,0.4470841884613037,0.1374669075012207,0.09068276733160019,0.08149874955415726,0.08681663125753403,0.19856032729148865,28,,,,,,,
,11019,,,,,,,,28,0.3238120973110199,0.43606582283973694,0.12573803961277008,0.0879848450422287,0.07940066605806351,0.08090876787900925,0.18974418938159943
1.45e-06,11020,,,,,,,,,,,,,,,
,11199,0.4273647665977478,0.5012229084968567,0.17680783569812775,0.13910219073295593,0.13175956904888153,0.13312000036239624,0.2515628933906555,29,,,,,,,
,11399,0.33641788363456726,0.42047491669654846,0.13767096400260925,0.0959312915802002,0.07655811309814453,0.08120792359113693,0.19137685000896454,29,,,,,,,
,11399,,,,,,,,29,0.3169085383415222,0.43187910318374634,0.10584867745637894,0.06940973550081253,0.061517514288425446,0.06479070335626602,0.17542827129364014
1.5e-06,11400,,,,,,,,,,,,,,,
,11599,0.29114383459091187,0.41842392086982727,0.08948307484388351,0.07269129902124405,0.07224936038255692,0.07108956575393677,0.16918018460273743,30,,,,,,,
,11779,,,,,,,,30,0.3198392689228058,0.4278644025325775,0.10795477777719498,0.07179993391036987,0.06182258576154709,0.06462156772613525,0.17759636044502258
1.55e-06,11780,,,,,,,,,,,,,,,
,11799,0.3340701162815094,0.4635290801525116,0.11569654941558838,0.07412651926279068,0.06423910707235336,0.07191089540719986,0.18726204335689545,31,,,,,,,
,11999,0.2375916987657547,0.34808388352394104,0.08787695318460464,0.055365052074193954,0.057234026491642,0.05958349257707596,0.140955850481987,31,,,,,,,
,12159,,,,,,,,31,0.30546411871910095,0.40808340907096863,0.09856951981782913,0.06371455639600754,0.05382566526532173,0.05671614035964012,0.16449643671512604
1.6000000000000001e-06,12160,,,,,,,,,,,,,,,
,12199,0.29074153304100037,0.3976077139377594,0.07890752702951431,0.058098483830690384,0.049713827669620514,0.057269640266895294,0.15538978576660156,32,,,,,,,
,12399,0.35798922181129456,0.46035870909690857,0.14205124974250793,0.08885736763477325,0.0688849687576294,0.07009430229663849,0.19803932309150696,32,,,,,,,
,12539,,,,,,,,32,0.2945478856563568,0.39337241649627686,0.08860916644334793,0.05368269979953766,0.04361638426780701,0.04673262685537338,0.15269435942173004
1.65e-06,12540,,,,,,,,,,,,,,,
,12599,0.3327556252479553,0.4311707317829132,0.09918703138828278,0.06572476029396057,0.053212422877550125,0.05786202847957611,0.1733187735080719,33,,,,,,,
,12799,0.2850697338581085,0.379525750875473,0.08265595138072968,0.061691030859947205,0.05792008340358734,0.06045563891530037,0.15455304086208344,33,,,,,,,
,12919,,,,,,,,33,0.29893210530281067,0.38970112800598145,0.09249628335237503,0.055624671280384064,0.04505780711770058,0.049231238663196564,0.1565057337284088
1.7000000000000002e-06,12920,,,,,,,,,,,,,,,
,12999,0.3200191259384155,0.4163462519645691,0.08970485627651215,0.0686081051826477,0.05653475597500801,0.05372117832303047,0.16748905181884766,34,,,,,,,
,13199,0.32231369614601135,0.39996424317359924,0.1887466162443161,0.1050901859998703,0.09326048940420151,0.09507965296506882,0.20074248313903809,34,,,,,,,
,13299,,,,,,,,34,0.29166895151138306,0.38635534048080444,0.0861525684595108,0.05084839463233948,0.039580732583999634,0.04376990348100662,0.15027226507663727
1.7500000000000002e-06,13300,,,,,,,,,,,,,,,
,13399,0.33882859349250793,0.44517478346824646,0.1036284938454628,0.06476502120494843,0.05039770156145096,0.049245595932006836,0.17534004151821136,35,,,,,,,
,13599,0.37116649746894836,0.4584321081638336,0.14105729758739471,0.09529874473810196,0.07685805857181549,0.08260809630155563,0.20423680543899536,35,,,,,,,
,13679,,,,,,,,35,0.2965591549873352,0.3900730013847351,0.09264162927865982,0.05530613288283348,0.04313061013817787,0.04762354865670204,0.15361197292804718
1.8e-06,13680,,,,,,,,,,,,,,,
,13799,0.3205220103263855,0.43005529046058655,0.12587912380695343,0.06203188747167587,0.04642067849636078,0.05567549541592598,0.17343077063560486,36,,,,,,,
,13999,0.3483888506889343,0.42659226059913635,0.13735735416412354,0.06291283667087555,0.056012678891420364,0.058616869151592255,0.18164680898189545,36,,,,,,,
,14059,,,,,,,,36,0.29457148909568787,0.38517504930496216,0.0926661267876625,0.05375983193516731,0.040741369128227234,0.04543369263410568,0.1532798856496811
1.85e-06,14060,,,,,,,,,,,,,,,
,14199,0.2650548219680786,0.3880963921546936,0.10391318053007126,0.05389728397130966,0.04378208890557289,0.047788895666599274,0.1504221111536026,37,,,,,,,
,14399,0.22778496146202087,0.33100414276123047,0.08766331523656845,0.06244947016239166,0.051371730864048004,0.061416108161211014,0.13694828748703003,37,,,,,,,
,14439,,,,,,,,37,0.2878888249397278,0.3726594150066376,0.08862116187810898,0.05060168728232384,0.038159944117069244,0.042549051344394684,0.1474997103214264
1.9e-06,14440,,,,,,,,,,,,,,,
,14599,0.2906959056854248,0.41189542412757874,0.1339203119277954,0.062254197895526886,0.04452842101454735,0.055762991309165955,0.16650953888893127,38,,,,,,,
,14799,0.2119596302509308,0.3308943808078766,0.064092256128788,0.03419981896877289,0.03376634046435356,0.03520016372203827,0.11835210025310516,38,,,,,,,
,14819,,,,,,,,38,0.29299044609069824,0.38160955905914307,0.08437596261501312,0.04479951784014702,0.03334323689341545,0.03782244399189949,0.1476554125547409
1.95e-06,14820,,,,,,,,,,,,,,,
,14999,0.250540167093277,0.3477543592453003,0.06788001954555511,0.05967850610613823,0.04221261292695999,0.04617355391383171,0.13570654392242432,39,,,,,,,
,15199,0.30519428849220276,0.3707108497619629,0.09098105877637863,0.07510317116975784,0.06458951532840729,0.06477755308151245,0.16189274191856384,39,,,,,,,
,15199,,,,,,,,39,0.29309096932411194,0.3783486485481262,0.0869971439242363,0.050554610788822174,0.03609359264373779,0.041272833943367004,0.14758451282978058
2.0000000000000003e-06,15200,,,,,,,,,,,,,,,
,15399,0.29555875062942505,0.39992302656173706,0.07108283787965775,0.06047190725803375,0.04190792888402939,0.05138334631919861,0.15338796377182007,40,,,,,,,
,15579,,,,,,,,40,0.2929055392742157,0.3764531910419464,0.0927576795220375,0.05340937152504921,0.03762742877006531,0.04284917935729027,0.15161968767642975
2.0500000000000003e-06,15580,,,,,,,,,,,,,,,
,15599,0.3143845200538635,0.40270161628723145,0.06565530598163605,0.03611435741186142,0.02816522680222988,0.03036828525364399,0.14623156189918518,41,,,,,,,
,15799,0.3352639377117157,0.40293124318122864,0.09468430280685425,0.044188208878040314,0.0342661514878273,0.03665723279118538,0.15799851715564728,41,,,,,,,
,15959,,,,,,,,41,0.2827460467815399,0.36505740880966187,0.0856587365269661,0.047892265021800995,0.03301844745874405,0.03745294362306595,0.14272092282772064
2.1000000000000002e-06,15960,,,,,,,,,,,,,,,
,15999,0.3737390637397766,0.42747560143470764,0.14856885373592377,0.12337994575500488,0.08110325783491135,0.08811521530151367,0.20706366002559662,42,,,,,,,
,16199,0.30682334303855896,0.3605130910873413,0.11649427562952042,0.05201996490359306,0.03893064707517624,0.042854491621255875,0.1529393047094345,42,,,,,,,
,16339,,,,,,,,42,0.29412174224853516,0.3741985261440277,0.09289984405040741,0.05030626431107521,0.03385939821600914,0.039652928709983826,0.14806896448135376
2.1499999999999997e-06,16340,,,,,,,,,,,,,,,
,16399,0.34096282720565796,0.42877015471458435,0.11792423576116562,0.09043172001838684,0.05512259155511856,0.06590628623962402,0.18318629264831543,43,,,,,,,
,16599,0.34896519780158997,0.41013771295547485,0.10173511505126953,0.05354172736406326,0.038797348737716675,0.03731895610690117,0.1650826781988144,43,,,,,,,
,16719,,,,,,,,43,0.2876443862915039,0.3636285364627838,0.08819431811571121,0.04987751320004463,0.03450251743197441,0.04012077674269676,0.1449725329875946
2.2e-06,16720,,,,,,,,,,,,,,,
,16799,0.27751490473747253,0.4203605651855469,0.05952904373407364,0.02447156049311161,0.022853462025523186,0.024771038442850113,0.13825009763240814,44,,,,,,,
,16999,0.3192053437232971,0.3979518711566925,0.09433204680681229,0.06095011904835701,0.03376822546124458,0.04397910460829735,0.1583644598722458,44,,,,,,,
,17099,,,,,,,,44,0.28048837184906006,0.3636647164821625,0.08510594815015793,0.045979250222444534,0.030439551919698715,0.03598160296678543,0.14126718044281006
2.25e-06,17100,,,,,,,,,,,,,,,
,17199,0.20560379326343536,0.30880430340766907,0.03180331736803055,0.02814316563308239,0.023613760247826576,0.025049613788723946,0.10383632779121399,45,,,,,,,
,17399,0.28753021359443665,0.37579482793807983,0.1066495031118393,0.05657906457781792,0.04368176311254501,0.05012007802724838,0.15339258313179016,45,,,,,,,
,17479,,,,,,,,45,0.2893965542316437,0.36509957909584045,0.08211348950862885,0.0430971197783947,0.02824527584016323,0.032858800143003464,0.14214971661567688
2.3e-06,17480,,,,,,,,,,,,,,,
,17599,0.31590715050697327,0.38862696290016174,0.08269351720809937,0.052348725497722626,0.03898464888334274,0.04465401545166969,0.15386918187141418,46,,,,,,,
,17799,0.40779075026512146,0.45894384384155273,0.18298247456550598,0.10976948589086533,0.07279405742883682,0.08802025765180588,0.2200501412153244,46,,,,,,,
,17859,,,,,,,,46,0.28958290815353394,0.36775949597358704,0.0854547992348671,0.04377973824739456,0.027866914868354797,0.03339158371090889,0.14111322164535522
2.35e-06,17860,,,,,,,,,,,,,,,
,17999,0.20236504077911377,0.3021131753921509,0.037123903632164,0.024394292384386063,0.022345593199133873,0.02347756363451481,0.10196992754936218,47,,,,,,,
,18199,0.13569843769073486,0.24036921560764313,0.05545486882328987,0.029590334743261337,0.020538924261927605,0.02613692544400692,0.08463145792484283,47,,,,,,,
,18239,,,,,,,,47,0.2937034070491791,0.36673933267593384,0.0874212384223938,0.0461399145424366,0.029444830492138863,0.03504205495119095,0.1438106894493103
2.4000000000000003e-06,18240,,,,,,,,,,,,,,,
,18399,0.24097473919391632,0.30241119861602783,0.08805340528488159,0.0510190986096859,0.03284791484475136,0.04290173947811127,0.12636803090572357,48,,,,,,,
,18599,0.37150663137435913,0.42070645093917847,0.20734389126300812,0.1116907075047493,0.09055475145578384,0.10630358010530472,0.21801766753196716,48,,,,,,,
,18619,,,,,,,,48,0.28655806183815,0.3600807189941406,0.08311113715171814,0.042702022939920425,0.027784429490566254,0.03249633312225342,0.14029507339000702
2.4500000000000003e-06,18620,,,,,,,,,,,,,,,
,18799,0.2941432595252991,0.36908844113349915,0.11505791544914246,0.07569976896047592,0.048028577119112015,0.0573425255715847,0.15989342331886292,49,,,,,,,
,18999,0.2960685193538666,0.3589957058429718,0.08504889905452728,0.0443437322974205,0.028245463967323303,0.03130535036325455,0.14066794514656067,49,,,,,,,
,18999,,,,,,,,49,0.29069384932518005,0.36592134833335876,0.08431066572666168,0.04396359249949455,0.02731924317777157,0.032716698944568634,0.14129044115543365
2.5e-06,19000,,,,,,,,,,,,,,,
,19199,0.21872876584529877,0.31811633706092834,0.05517347902059555,0.02634630911052227,0.023437954485416412,0.022362852469086647,0.1106942817568779,50,,,,,,,
,19379,,,,,,,,50,0.2825625240802765,0.3600872755050659,0.0851048082113266,0.04650647193193436,0.030530231073498726,0.03573285788297653,0.1415790617465973
2.55e-06,19380,,,,,,,,,,,,,,,
,19399,0.3034823536872864,0.39518919587135315,0.08953981101512909,0.06592752039432526,0.04664372652769089,0.04587464779615402,0.15777620673179626,51,,,,,,,
,19599,0.24959410727024078,0.33633753657341003,0.06320250779390335,0.04486962780356407,0.03596894443035126,0.03825843334197998,0.12803852558135986,51,,,,,,,
,19759,,,,,,,,51,0.27437397837638855,0.3504291772842407,0.07847890257835388,0.04082294553518295,0.024832582101225853,0.02985232323408127,0.13463571667671204
2.6e-06,19760,,,,,,,,,,,,,,,
,19799,0.2487354576587677,0.2919595241546631,0.04413352906703949,0.025447439402341843,0.019288374111056328,0.024965060874819756,0.109088234603405,52,,,,,,,
,19999,0.34691908955574036,0.4224121868610382,0.10627603530883789,0.0680164247751236,0.043405476957559586,0.04733792319893837,0.1723945140838623,52,,,,,,,
,20139,,,,,,,,52,0.27933433651924133,0.35783395171165466,0.07946760207414627,0.0398981086909771,0.02427690662443638,0.029054813086986542,0.13498938083648682
2.65e-06,20140,,,,,,,,,,,,,,,
,20199,0.300666481256485,0.3766731917858124,0.05656519904732704,0.029814939945936203,0.02249094657599926,0.025736628100275993,0.13532456755638123,53,,,,,,,
,20399,0.2785070538520813,0.36283981800079346,0.06753607094287872,0.043434128165245056,0.03253231197595596,0.0416344553232193,0.13774730265140533,53,,,,,,,
,20519,,,,,,,,53,0.28333255648612976,0.35275548696517944,0.08724448829889297,0.04647289216518402,0.02828451432287693,0.03369700163602829,0.13902223110198975
2.7e-06,20520,,,,,,,,,,,,,,,
,20599,0.23413671553134918,0.3145054578781128,0.0661872923374176,0.023568065837025642,0.02163517102599144,0.020718462765216827,0.1134585291147232,54,,,,,,,
,20799,0.2299034744501114,0.3039419651031494,0.05676114931702614,0.029957246035337448,0.02014521323144436,0.02381749637424946,0.11075442284345627,54,,,,,,,
,20899,,,,,,,,54,0.27215346693992615,0.3447321951389313,0.07568500936031342,0.03763745352625847,0.022487908601760864,0.027225138619542122,0.13070876896381378
2.7500000000000004e-06,20900,,,,,,,,,,,,,,,
,20999,0.28413987159729004,0.35259926319122314,0.1288430392742157,0.07727433741092682,0.051211878657341,0.062017567455768585,0.15934766829013824,55,,,,,,,
